EVENT,BOUT,OUTCOME,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL,fightURL,fighter1Url,fighter2Url
UFC Fight Night: Song vs. Simon ,Hailey Cowan  vs. Jamey-Lyn Horth ,L/W,Women's Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Junichiro Kamijo 28 - 29.Anthony Maness 28 - 29.Ron McCarthy 28 - 29.,http://ufcstats.com/fight-details/e434035be5453be0,http://ufcstats.com/fight-details/e434035be5453be0,http://ufcstats.com/fighter-details/3c26c420584d912d,http://ufcstats.com/fighter-details/5c637af9472ae7cc
UFC Fight Night: Pavlovich vs. Blaydes ,Sergei Pavlovich  vs. Curtis Blaydes ,W/L,Heavyweight Bout,KO/TKO ,1,3:08,5 Rnd (5-5-5-5-5),Marc Goddard,Punches to Head At Distance ,http://ufcstats.com/fight-details/856468ba24a37fcc,http://ufcstats.com/fight-details/856468ba24a37fcc,http://ufcstats.com/fighter-details/f14cf73e51b29254,http://ufcstats.com/fighter-details/fa6796c55d6c5440
UFC Fight Night: Pavlovich vs. Blaydes ,Brad Tavares  vs. Bruno Silva ,L/W,Middleweight Bout,KO/TKO ,1,3:35,3 Rnd (5-5-5),Mark Smith,Punch to Head At Distance ,http://ufcstats.com/fight-details/d00d5ef4ae0ac01b,http://ufcstats.com/fight-details/d00d5ef4ae0ac01b,http://ufcstats.com/fighter-details/0c6d9ea8306c029e,http://ufcstats.com/fighter-details/12ebd7d157e91701
UFC Fight Night: Pavlovich vs. Blaydes ,Bobby Green  vs. Jared Gordon ,NC/NC,Lightweight Bout,Could Not Continue ,1,4:35,3 Rnd (5-5-5),Keith Peterson,Head butt from Green,http://ufcstats.com/fight-details/640d52630f4f8a61,http://ufcstats.com/fight-details/640d52630f4f8a61,http://ufcstats.com/fighter-details/887961364be5ceb3,http://ufcstats.com/fighter-details/7026eca45f65377b
UFC Fight Night: Pavlovich vs. Blaydes ,Iasmin Lucindo  vs. Brogan Walker ,W/L,Women's Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Adalaide Byrd 27 - 30.Chris Lee 27 - 30.Ron McCarthy 27 - 30.,http://ufcstats.com/fight-details/20c0f50c11509301,http://ufcstats.com/fight-details/20c0f50c11509301,http://ufcstats.com/fighter-details/abcf2cc6efc42031,http://ufcstats.com/fighter-details/4333a8e70a672eb7
UFC Fight Night: Pavlovich vs. Blaydes ,Jeremiah Wells  vs. Matthew Semelsberger ,W/L,Welterweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Eric Colon 27 - 30.Rick Winter 29 - 28.Junichiro Kamijo 27 - 30.,http://ufcstats.com/fight-details/06d9fb9c995f1e4f,http://ufcstats.com/fight-details/06d9fb9c995f1e4f,http://ufcstats.com/fighter-details/d66a46de8d705353,http://ufcstats.com/fighter-details/4aa58269d0664b5b
UFC Fight Night: Pavlovich vs. Blaydes ,Ricky Glenn  vs. Christos Giagos ,L/W,Lightweight Bout,KO/TKO ,1,1:35,3 Rnd (5-5-5),Jacob Montalvo,Punch to Head At Distance ,http://ufcstats.com/fight-details/16628e25a043043a,http://ufcstats.com/fight-details/16628e25a043043a,http://ufcstats.com/fighter-details/814ff3018127e8fc,http://ufcstats.com/fighter-details/de45aaae23dfa392
UFC Fight Night: Pavlovich vs. Blaydes ,Rani Yahya  vs. Montel Jackson ,L/W,Bantamweight Bout,KO/TKO ,1,3:42,3 Rnd (5-5-5),Keith Peterson,Punch to Head At Distance ,http://ufcstats.com/fight-details/034cbbec91f67852,http://ufcstats.com/fight-details/034cbbec91f67852,http://ufcstats.com/fighter-details/94527830000ab715,http://ufcstats.com/fighter-details/cc1a8b4b38b92c6d
UFC Fight Night: Pavlovich vs. Blaydes ,Karol Rosa  vs. Norma Dumont ,L/W,Women's Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Ben Cartlidge 28 - 29.Junichiro Kamijo 28 - 29.Ron McCarthy 28 - 29.,http://ufcstats.com/fight-details/01aa5949ac6851f3,http://ufcstats.com/fight-details/01aa5949ac6851f3,http://ufcstats.com/fighter-details/351c4ec637380ad5,http://ufcstats.com/fighter-details/d3f5d33d61cd00c9
UFC Fight Night: Pavlovich vs. Blaydes ,Mohammed Usman  vs. Junior Tafa ,W/L,Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mark Smith,Junichiro Kamijo 28 - 29.Jacob Montalvo 28 - 29.Rick Winter 28 - 29.,http://ufcstats.com/fight-details/8beab5f941dae8e0,http://ufcstats.com/fight-details/8beab5f941dae8e0,http://ufcstats.com/fighter-details/da7f113b5ea39c43,http://ufcstats.com/fighter-details/c15fa95b9a12fde4
UFC Fight Night: Pavlovich vs. Blaydes ,Francis Marshall  vs. William Gomis ,L/W,Featherweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Adalaide Byrd 28 - 29.Ben Cartlidge 29 - 28.Eric Colon 28 - 29.,http://ufcstats.com/fight-details/a941c4e25ddddfff,http://ufcstats.com/fight-details/a941c4e25ddddfff,http://ufcstats.com/fighter-details/5d495dec23d7c68e,http://ufcstats.com/fighter-details/e1d40e8782d80bc2
UFC Fight Night: Pavlovich vs. Blaydes ,Brady Hiestand  vs. Batgerel Danaa ,W/L,Bantamweight Bout,KO/TKO ,3,4:21,3 Rnd (5-5-5),Jerin Valel,Punches to Head On Ground ,http://ufcstats.com/fight-details/277233ca9ea25674,http://ufcstats.com/fight-details/277233ca9ea25674,http://ufcstats.com/fighter-details/7af33fc4435017f1,http://ufcstats.com/fighter-details/3b0a516d2921e0d6
UFC Fight Night: Holloway vs. Allen ,Max Holloway  vs. Arnold Allen ,W/L,Featherweight Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Jason Herzog,Chris Lee 46 - 49.Sal D'amato 46 - 49.Travis Buesking 47 - 48.,http://ufcstats.com/fight-details/6049301b4deea035,http://ufcstats.com/fight-details/6049301b4deea035,http://ufcstats.com/fighter-details/150ff4cc642270b9,http://ufcstats.com/fighter-details/040a74bb0a465c54
UFC Fight Night: Holloway vs. Allen ,Edson Barboza  vs. Billy Quarantillo ,W/L,Featherweight Bout,KO/TKO ,1,2:37,3 Rnd (5-5-5),Keith Peterson,Knee to Head At Distance ,http://ufcstats.com/fight-details/83c81018bb3aeebf,http://ufcstats.com/fight-details/83c81018bb3aeebf,http://ufcstats.com/fighter-details/64a50dad704d1d49,http://ufcstats.com/fighter-details/aa171d55d4b5208f
UFC Fight Night: Holloway vs. Allen ,Dustin Jacoby  vs. Azamat Murzakanov ,L/W,Light Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Nick Berens,Sal D'amato 28 - 29.Brian Puccillo 28 - 29.Ross Swanberg 28 - 29.,http://ufcstats.com/fight-details/792f139c2b9fd294,http://ufcstats.com/fight-details/792f139c2b9fd294,http://ufcstats.com/fighter-details/e4277e87a789d687,http://ufcstats.com/fighter-details/e90a2f22417af68e
UFC Fight Night: Holloway vs. Allen ,Tanner Boser  vs. Ion Cutelaba ,L/W,Light Heavyweight Bout,KO/TKO ,1,2:05,3 Rnd (5-5-5),Keith Peterson,Punches to Head On Ground ,http://ufcstats.com/fight-details/995e79b951da945b,http://ufcstats.com/fight-details/995e79b951da945b,http://ufcstats.com/fighter-details/04c8b08b16a5b99e,http://ufcstats.com/fighter-details/cd13728ae1151f46
UFC Fight Night: Holloway vs. Allen ,Pedro Munhoz  vs. Chris Gutierrez ,W/L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Brian Puccillo 27 - 30.Travis Buesking 27 - 30.Henry Guery 27 - 30.,http://ufcstats.com/fight-details/d856812dc733690a,http://ufcstats.com/fight-details/d856812dc733690a,http://ufcstats.com/fighter-details/6bd02119599741a4,http://ufcstats.com/fighter-details/45f0cc9d18f35137
