EVENT,BOUT,OUTCOME,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL,fightURL,fighter1Url,fighter2Url
UFC Fight Night: Shevchenko vs. Carmouche 2 ,Rodolfo Vieira  vs. Oskar Piechota ,W/L,Middleweight Bout,Submission ,2,4:26,3 Rnd (5-5-5),Osiris Maia,Arm Triangle From Side Control ,http://ufcstats.com/fight-details/8da94b2c1c0443d4,http://ufcstats.com/fight-details/8da94b2c1c0443d4,http://ufcstats.com/fighter-details/260e9e0d4954aea6,http://ufcstats.com/fighter-details/1cf7ccf64a5bf24e
UFC Fight Night: Shevchenko vs. Carmouche 2 ,Enrique Barzola  vs. Bobby Moffett ,W/L,Featherweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Fernando Portella,Eric Colon 29 - 28.Phillipe Iorio 27 - 30.Joseph Terrell 28 - 29.,http://ufcstats.com/fight-details/4dd3035430a5ed43,http://ufcstats.com/fight-details/4dd3035430a5ed43,http://ufcstats.com/fighter-details/be0b310a12eb80b4,http://ufcstats.com/fighter-details/d76ad9a08c4408ff
UFC Fight Night: Shevchenko vs. Carmouche 2 ,Gilbert Burns  vs. Aleksei Kunchenko ,W/L,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Guilherme Bravo 28 - 29.Phillipe Iorio 28 - 29.Eric Colon 28 - 29.,http://ufcstats.com/fight-details/1019f2a9c012e949,http://ufcstats.com/fight-details/1019f2a9c012e949,http://ufcstats.com/fighter-details/23024fdfc966410a,http://ufcstats.com/fighter-details/e2ccd9a9ace60de7
UFC Fight Night: Shevchenko vs. Carmouche 2 ,Ciryl Gane  vs. Raphael Pessoa ,W/L,Heavyweight Bout,Submission ,1,4:12,3 Rnd (5-5-5),Eduardo Herdy,Arm Triangle From Side Control ,http://ufcstats.com/fight-details/1d8a86d37c7ef3d3,http://ufcstats.com/fight-details/1d8a86d37c7ef3d3,http://ufcstats.com/fighter-details/787bb1f087ccff8a,http://ufcstats.com/fighter-details/41f90012b86a11bf
UFC Fight Night: Shevchenko vs. Carmouche 2 ,Tecia Torres  vs. Marina Rodriguez ,L/W,Women's Strawweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Fernando Portella,Joseph Terrell 27 - 30.Eric Colon 27 - 30.Guilherme Bravo 26 - 30.,http://ufcstats.com/fight-details/d93b589bcec80ffe,http://ufcstats.com/fight-details/d93b589bcec80ffe,http://ufcstats.com/fighter-details/31ef8b67e13495b3,http://ufcstats.com/fighter-details/cd2c4d30c6e13b47
UFC Fight Night: Shevchenko vs. Carmouche 2 ,Rogerio Bontorin  vs. Raulian Paiva ,W/L,Flyweight Bout,TKO - Doctor's Stoppage ,1,2:56,3 Rnd (5-5-5),Osiris Maia,,http://ufcstats.com/fight-details/cb4dd24535ef2d94,http://ufcstats.com/fight-details/cb4dd24535ef2d94,http://ufcstats.com/fighter-details/07a2bdaa0afdd831,http://ufcstats.com/fighter-details/82b4e942781b1046
UFC Fight Night: Shevchenko vs. Carmouche 2 ,Geraldo de Freitas  vs. Chris Gutierrez ,L/W,Bantamweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Eduardo Herdy,Tony Weeks 28 - 29.Joseph Terrell 30 - 27.Phillipe Iorio 28 - 29.,http://ufcstats.com/fight-details/4c489b3c9d14cbc9,http://ufcstats.com/fight-details/4c489b3c9d14cbc9,http://ufcstats.com/fighter-details/9cfbfae5fa1fdd93,http://ufcstats.com/fighter-details/45f0cc9d18f35137
UFC Fight Night: Shevchenko vs. Carmouche 2 ,Kazula Vargas  vs. Alex Da Silva ,L/W,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Fernando Portella,Guilherme Bravo 27 - 30.Fabio Alves 27 - 30.Eric Colon 27 - 30.,http://ufcstats.com/fight-details/975159720cfd0103,http://ufcstats.com/fight-details/975159720cfd0103,http://ufcstats.com/fighter-details/ec18eb918121787c,http://ufcstats.com/fighter-details/c3ded6f7155f9ea4
UFC Fight Night: Shevchenko vs. Carmouche 2 ,Veronica Hardy  vs. Polyana Viana ,W/L,Women's Flyweight Bout,Submission ,1,1:09,3 Rnd (5-5-5),Keith Peterson,Armbar On Ground ,http://ufcstats.com/fight-details/494042bf96730bc0,http://ufcstats.com/fight-details/494042bf96730bc0,http://ufcstats.com/fighter-details/4798e823ada58fe9,http://ufcstats.com/fighter-details/9673a497a9da119a
UFC Fight Night: Covington vs. Lawler ,Colby Covington  vs. Robbie Lawler ,W/L,Welterweight Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Keith Peterson,Eric Colon 44 - 50.Dave Tirelli 45 - 50.Dominic Carolei 45 - 50.,http://ufcstats.com/fight-details/e139628170777bef,http://ufcstats.com/fight-details/e139628170777bef,http://ufcstats.com/fighter-details/dc9572dd6ec74859,http://ufcstats.com/fighter-details/f2925e6db404bf1d
UFC Fight Night: Covington vs. Lawler ,Jim Miller  vs. Clay Guida ,W/L,Lightweight Bout,Submission ,1,0:58,3 Rnd (5-5-5),Herb Dean,Guillotine Choke After Drop to Guard ,http://ufcstats.com/fight-details/e96d929f8207a3e0,http://ufcstats.com/fight-details/e96d929f8207a3e0,http://ufcstats.com/fighter-details/d1941565abf50b16,http://ufcstats.com/fighter-details/c47df9303d318c67
UFC Fight Night: Covington vs. Lawler ,Joaquim Silva  vs. Nasrat Haqparast ,L/W,Lightweight Bout,KO/TKO ,2,0:36,3 Rnd (5-5-5),Keith Peterson,Punch to Head At Distance ,http://ufcstats.com/fight-details/dbbd17b6995f014b,http://ufcstats.com/fight-details/dbbd17b6995f014b,http://ufcstats.com/fighter-details/ae7fe94f117f98cf,http://ufcstats.com/fighter-details/b7b84ccd221be298
UFC Fight Night: Covington vs. Lawler ,Trevin Giles  vs. Gerald Meerschaert ,L/W,Middleweight Bout,Submission ,3,1:49,3 Rnd (5-5-5),Herb Dean,Guillotine Choke On Ground ,http://ufcstats.com/fight-details/dc49373c52eedaa3,http://ufcstats.com/fight-details/dc49373c52eedaa3,http://ufcstats.com/fighter-details/b27a1fcb56a3035a,http://ufcstats.com/fighter-details/6ac9bc2953c47345
UFC Fight Night: Covington vs. Lawler ,Scott Holtzman  vs. Dong Hyun Ma ,W/L,Lightweight Bout,TKO - Doctor's Stoppage ,2,5:00,3 Rnd (5-5-5),Gasper Oliver,,http://ufcstats.com/fight-details/1d9f862a47540785,http://ufcstats.com/fight-details/1d9f862a47540785,http://ufcstats.com/fighter-details/df1eb4354d18a906,http://ufcstats.com/fighter-details/98a6b2361045898f
UFC Fight Night: Covington vs. Lawler ,Darko Stosic  vs. Kennedy Nzechukwu ,L/W,Light Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Gary Copeland,Cardo Urso 26 - 29.Munah Holland 26 - 29.Jon Bilyk 27 - 28.,http://ufcstats.com/fight-details/cd6b799ec79c489a,http://ufcstats.com/fight-details/cd6b799ec79c489a,http://ufcstats.com/fighter-details/025f0b1b58fbad01,http://ufcstats.com/fighter-details/8667caa0451d245b
UFC Fight Night: Covington vs. Lawler ,Mickey Gall  vs. Salim Touahri ,W/L,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Gary Copeland,Eric Colon 28 - 29.Dave Tirelli 28 - 29.Cardo Urso 28 - 29.,http://ufcstats.com/fight-details/f4bd11655adeb078,http://ufcstats.com/fight-details/f4bd11655adeb078,http://ufcstats.com/fighter-details/9e50097a89442158,http://ufcstats.com/fighter-details/cbf1c7ba5408a66f
UFC Fight Night: Covington vs. Lawler ,Antonina Shevchenko  vs. Lucie Pudilova ,W/L,Women's Flyweight Bout,Submission ,2,1:20,3 Rnd (5-5-5),Liam Kerrigan,Rear Naked Choke ,http://ufcstats.com/fight-details/326de7f7ec9e7035,http://ufcstats.com/fight-details/326de7f7ec9e7035,http://ufcstats.com/fighter-details/d7338bcb141abd2c,http://ufcstats.com/fighter-details/3cf66c62d9069f43
UFC Fight Night: Covington vs. Lawler ,Jordan Espinosa  vs. Matt Schnell ,L/W,Flyweight Bout,Submission ,1,1:23,3 Rnd (5-5-5),Gasper Oliver,Triangle Choke From Bottom Guard ,http://ufcstats.com/fight-details/60162c95d921d1ae,http://ufcstats.com/fight-details/60162c95d921d1ae,http://ufcstats.com/fighter-details/215a70f073a7b726,http://ufcstats.com/fighter-details/67c1d46f4ed16f9e
UFC Fight Night: Covington vs. Lawler ,Lauren Murphy  vs. Mara Romero Borella ,W/L,Women's Flyweight Bout,KO/TKO ,3,1:46,3 Rnd (5-5-5),Liam Kerrigan,Knee to Head In Clinch ,http://ufcstats.com/fight-details/e3acb789f7dcd34c,http://ufcstats.com/fight-details/e3acb789f7dcd34c,http://ufcstats.com/fighter-details/729d4bd5a6cd0a97,http://ufcstats.com/fighter-details/82cbb809d5ee565c
UFC Fight Night: Covington vs. Lawler ,Claudio Silva  vs. Cole Williams ,W/L,Welterweight Bout,Submission ,1,2:35,3 Rnd (5-5-5),Gary Copeland,Neck Crank From Back Control ,http://ufcstats.com/fight-details/f6ab2eec90980ac0,http://ufcstats.com/fight-details/f6ab2eec90980ac0,http://ufcstats.com/fighter-details/6f7c616b98e18c29,http://ufcstats.com/fighter-details/f9a20a17d712ef7c
UFC Fight Night: Covington vs. Lawler ,Miranda Granger  vs. Hannah Goldy ,W/L,Women's Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Jon Bilyk 27 - 30.Dominic Carolei 27 - 30.Munah Holland 27 - 30.,http://ufcstats.com/fight-details/94560d1dc6248347,http://ufcstats.com/fight-details/94560d1dc6248347,http://ufcstats.com/fighter-details/7559395ad833c074,http://ufcstats.com/fighter-details/26e3f3928b1891d9
UFC 240: Holloway vs. Edgar ,Max Holloway  vs. Frankie Edgar ,W/L,UFC Featherweight Title Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Chris Lee 45 - 50.Dave Hagen 46 - 49.Tony Weeks 47 - 48.,http://ufcstats.com/fight-details/c4704eab5e2f51b8,http://ufcstats.com/fight-details/c4704eab5e2f51b8,http://ufcstats.com/fighter-details/150ff4cc642270b9,http://ufcstats.com/fighter-details/f2688492b9a525a3
UFC 240: Holloway vs. Edgar ,Cristiane Justino  vs. Felicia Spencer ,W/L,Women's Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Yves Lavigne,Kevin Dornan 27 - 30.Brian Puccillo 27 - 30.Thomas Collins 27 - 30.,http://ufcstats.com/fight-details/240e9389cca3bd18,http://ufcstats.com/fight-details/240e9389cca3bd18,http://ufcstats.com/fighter-details/634bb0de2eb043b4,http://ufcstats.com/fighter-details/39d91e95949de3d9
UFC 240: Holloway vs. Edgar ,Geoff Neal  vs. Niko Price ,W/L,Welterweight Bout,KO/TKO ,2,2:39,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head From Guard ,http://ufcstats.com/fight-details/e186bd5e556f1b5e,http://ufcstats.com/fight-details/e186bd5e556f1b5e,http://ufcstats.com/fighter-details/b997be68943010fc,http://ufcstats.com/fighter-details/d8da10db80131bec
UFC 240: Holloway vs. Edgar ,Olivier Aubin-Mercier  vs. Arman Tsarukyan ,L/W,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Thomas Collins 28 - 29.Chris Lee 28 - 29.Brian Puccillo 28 - 29.,http://ufcstats.com/fight-details/7ed98f8d1ffae082,http://ufcstats.com/fight-details/7ed98f8d1ffae082,http://ufcstats.com/fighter-details/55ee431411ccf07a,http://ufcstats.com/fighter-details/eae48ff31db420c2
UFC 240: Holloway vs. Edgar ,Marc-Andre Barriault  vs. Krzysztof Jotko ,L/W,Middleweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Herb Dean,Dave Hagen 28 - 29.Derek Cleary 28 - 29.Kevin Dornan 29 - 28.,http://ufcstats.com/fight-details/dbca9f6bb7290c0d,http://ufcstats.com/fight-details/dbca9f6bb7290c0d,http://ufcstats.com/fighter-details/8e9eb3fc86db0f7d,http://ufcstats.com/fighter-details/4e06913c91da5200
UFC 240: Holloway vs. Edgar ,Alexis Davis  vs. Viviane Araujo ,L/W,Women's Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Yves Lavigne,Brian Puccillo 28 - 29.Chris Lee 28 - 29.Thomas Collins 28 - 29.,http://ufcstats.com/fight-details/dfa2fda311df08cf,http://ufcstats.com/fight-details/dfa2fda311df08cf,http://ufcstats.com/fighter-details/4c2d90e335e6df19,http://ufcstats.com/fighter-details/36541f1e6c5d4955
UFC 240: Holloway vs. Edgar ,Hakeem Dawodu  vs. Yoshinori Horie ,W/L,Featherweight Bout,KO/TKO ,3,4:09,3 Rnd (5-5-5),Kyle Cardinal,Kick to Head At Distance ,http://ufcstats.com/fight-details/10b31e991c2d0d4e,http://ufcstats.com/fight-details/10b31e991c2d0d4e,http://ufcstats.com/fighter-details/2c9d00968f818270,http://ufcstats.com/fighter-details/3fa7688bfe48a493
UFC 240: Holloway vs. Edgar ,Gavin Tucker  vs. SeungWoo Choi ,W/L,Featherweight Bout,Submission ,3,3:17,3 Rnd (5-5-5),Marc Goddard,Rear Naked Choke ,http://ufcstats.com/fight-details/25c4013fc187762a,http://ufcstats.com/fight-details/25c4013fc187762a,http://ufcstats.com/fighter-details/da816417a579a0bd,http://ufcstats.com/fighter-details/a68575214ecad140
UFC 240: Holloway vs. Edgar ,Alexandre Pantoja  vs. Deiveson Figueiredo ,L/W,Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Tony Weeks 27 - 30.Brian Puccillo 27 - 30.Derek Cleary 27 - 30.,http://ufcstats.com/fight-details/bc1787883f9328be,http://ufcstats.com/fight-details/bc1787883f9328be,http://ufcstats.com/fighter-details/a0f0004aadf10b71,http://ufcstats.com/fighter-details/aa72b0f831d0bfe5
UFC 240: Holloway vs. Edgar ,Gillian Robertson  vs. Sarah Frota ,W/L,Women's Flyweight Bout,KO/TKO ,2,4:13,3 Rnd (5-5-5),Kyle Cardinal,Elbows to Head From Mount ,http://ufcstats.com/fight-details/68c77a11b2d308dd,http://ufcstats.com/fight-details/68c77a11b2d308dd,http://ufcstats.com/fighter-details/38c7f72747f4f712,http://ufcstats.com/fighter-details/1641ef250e9de19b
UFC 240: Holloway vs. Edgar ,Erik Koch  vs. Kyle Stewart ,W/L,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Brian Puccillo 27 - 30.Thomas Collins 28 - 29.Derek Cleary 28 - 29.,http://ufcstats.com/fight-details/d47fd8fc3886f86c,http://ufcstats.com/fight-details/d47fd8fc3886f86c,http://ufcstats.com/fighter-details/99bd87a300079ed9,http://ufcstats.com/fighter-details/bb61823f76361297
UFC Fight Night: Dos Anjos vs. Edwards ,Rafael Dos Anjos  vs. Leon Edwards ,L/W,Welterweight Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Dan Miragliotta,Gino Garcia 45 - 50.Perry Hillin 46 - 49.Marcos Rosales 46 - 49.,http://ufcstats.com/fight-details/816662e622987a14,http://ufcstats.com/fight-details/816662e622987a14,http://ufcstats.com/fighter-details/6a2f7c151031653d,http://ufcstats.com/fighter-details/f1fac969a1d70b08
UFC Fight Night: Dos Anjos vs. Edwards ,Aleksei Oleinik  vs. Walt Harris ,L/W,Heavyweight Bout,KO/TKO ,1,0:12,3 Rnd (5-5-5),Jacob Montalvo,Punch to Head At Distance ,http://ufcstats.com/fight-details/15ce105716441c54,http://ufcstats.com/fight-details/15ce105716441c54,http://ufcstats.com/fighter-details/98c23cb6da5b3352,http://ufcstats.com/fighter-details/03f982ca3735070c
UFC Fight Night: Dos Anjos vs. Edwards ,Greg Hardy  vs. Juan Adams ,W/L,Heavyweight Bout,KO/TKO ,1,0:45,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head On Ground ,http://ufcstats.com/fight-details/88b1d4f951070f83,http://ufcstats.com/fight-details/88b1d4f951070f83,http://ufcstats.com/fighter-details/85073dbd1be65ed9,http://ufcstats.com/fighter-details/83b00f7597e5ac83
UFC Fight Night: Dos Anjos vs. Edwards ,James Vick  vs. Dan Hooker ,L/W,Lightweight Bout,KO/TKO ,1,2:33,3 Rnd (5-5-5),Kerry Hatley,Punch to Head At Distance ,http://ufcstats.com/fight-details/9d6b46a3cf5ec494,http://ufcstats.com/fight-details/9d6b46a3cf5ec494,http://ufcstats.com/fighter-details/6256b2b1562cb8e1,http://ufcstats.com/fighter-details/193b9d1858bc4df3
UFC Fight Night: Dos Anjos vs. Edwards ,Alexander Hernandez  vs. Francisco Trinaldo ,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Frank Collazo,Marcos Rosales 27 - 30.Ruben Carrion 27 - 30.Gino Garcia 28 - 29.,http://ufcstats.com/fight-details/c92308bbd6107b11,http://ufcstats.com/fight-details/c92308bbd6107b11,http://ufcstats.com/fighter-details/262a7d06203657e6,http://ufcstats.com/fighter-details/a8283a4f415e1eb9
UFC Fight Night: Dos Anjos vs. Edwards ,Andrei Arlovski  vs. Ben Rothwell ,W/L,Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Jennie Cardenas 27 - 30.Perry Hillin 27 - 30.Ruben Carrion 27 - 30.,http://ufcstats.com/fight-details/f065dc596a08a258,http://ufcstats.com/fight-details/f065dc596a08a258,http://ufcstats.com/fighter-details/3738e68d2261e60f,http://ufcstats.com/fighter-details/bd58d34e39b7b12a
UFC Fight Night: Dos Anjos vs. Edwards ,Alex Caceres  vs. Steven Peterson ,W/L,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Jennie Cardenas 27 - 30.Ruben Carrion 28 - 29.Gino Garcia 28 - 29.,http://ufcstats.com/fight-details/96d33e46267d4eaf,http://ufcstats.com/fight-details/96d33e46267d4eaf,http://ufcstats.com/fighter-details/7aa3d6964eff4877,http://ufcstats.com/fighter-details/b93c06d09d1c4ac0
UFC Fight Night: Dos Anjos vs. Edwards ,Raquel Pennington  vs. Irene Aldana ,W/L,Women's Bantamweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Frank Collazo,Ruben Carrion 29 - 28.Perry Hillin 28 - 29.Marcos Rosales 28 - 29.,http://ufcstats.com/fight-details/017e0b7e864b0aa3,http://ufcstats.com/fight-details/017e0b7e864b0aa3,http://ufcstats.com/fighter-details/fc169c387b4b465d,http://ufcstats.com/fighter-details/578ef12674df1e6a
UFC Fight Night: Dos Anjos vs. Edwards ,Sam Alvey  vs. Klidson Abreu ,L/W,Light Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jacob Montalvo,Jennie Cardenas 27 - 30.Ruben Carrion 27 - 30.Perry Hillin 28 - 29.,http://ufcstats.com/fight-details/f711b3ec6bc3c407,http://ufcstats.com/fight-details/f711b3ec6bc3c407,http://ufcstats.com/fighter-details/d156513a19acf856,http://ufcstats.com/fighter-details/7279654c7674cd24
UFC Fight Night: Dos Anjos vs. Edwards ,Roxanne Modafferi  vs. Jennifer Maia ,L/W,Women's Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jacob Montalvo,Jennie Cardenas 27 - 30.Ruben Carrion 27 - 30.Gino Garcia 27 - 30.,http://ufcstats.com/fight-details/dd51d1aed9536da6,http://ufcstats.com/fight-details/dd51d1aed9536da6,http://ufcstats.com/fighter-details/4498b382c65a7faa,http://ufcstats.com/fighter-details/8e1f36476ef02a6a
UFC Fight Night: Dos Anjos vs. Edwards ,Ray Borg  vs. Gabriel Silva ,W/L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Marcos Rosales 28 - 29.Perry Hillin 28 - 29.Ruben Carrion 28 - 29.,http://ufcstats.com/fight-details/bc01ce748a5723df,http://ufcstats.com/fight-details/bc01ce748a5723df,http://ufcstats.com/fighter-details/a4de54ea806fb525,http://ufcstats.com/fighter-details/002ca196477ce572
UFC Fight Night: Dos Anjos vs. Edwards ,Mario Bautista  vs. Jin Soo Son ,W/L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Jennie Cardenas 27 - 30.Perry Hillin 27 - 30.Gino Garcia 28 - 29.,http://ufcstats.com/fight-details/24bcade0007c2246,http://ufcstats.com/fight-details/24bcade0007c2246,http://ufcstats.com/fighter-details/bc711b6dd95c1af6,http://ufcstats.com/fighter-details/7c9c6a884be167fe
UFC Fight Night: Dos Anjos vs. Edwards ,Domingo Pilarte  vs. Felipe Colares ,L/W,Bantamweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Frank Collazo,Marcelo Vilhena 28 - 29.Jennie Cardenas 29 - 28.Gino Garcia 28 - 29.,http://ufcstats.com/fight-details/c5259566abc552b1,http://ufcstats.com/fight-details/c5259566abc552b1,http://ufcstats.com/fighter-details/4bf6b225ff6099c4,http://ufcstats.com/fighter-details/dbac0a413af64bbe
UFC Fight Night: De Randamie vs. Ladd ,Germaine de Randamie  vs. Aspen Ladd ,W/L,Women's Bantamweight Bout,KO/TKO ,1,0:16,5 Rnd (5-5-5-5-5),Herb Dean,Punch to Head At Distance ,http://ufcstats.com/fight-details/edc87836fd998929,http://ufcstats.com/fight-details/edc87836fd998929,http://ufcstats.com/fighter-details/1d239d571e342453,http://ufcstats.com/fighter-details/d4691518d012b9e7
UFC Fight Night: De Randamie vs. Ladd ,Urijah Faber  vs. Ricky Simon ,W/L,Bantamweight Bout,KO/TKO ,1,0:46,3 Rnd (5-5-5),Mike Beltran,Punch to Head At Distance ,http://ufcstats.com/fight-details/75b1533cc3cafae9,http://ufcstats.com/fight-details/75b1533cc3cafae9,http://ufcstats.com/fighter-details/78114b7199cef90c,http://ufcstats.com/fighter-details/5987b2458f4b5290
UFC Fight Night: De Randamie vs. Ladd ,Josh Emmett  vs. Mirsad Bektic ,W/L,Featherweight Bout,KO/TKO ,1,4:25,3 Rnd (5-5-5),Jason Herzog,Punches to Head On Ground ,http://ufcstats.com/fight-details/138cb102906573f2,http://ufcstats.com/fight-details/138cb102906573f2,http://ufcstats.com/fighter-details/fba03cd6cc28dc41,http://ufcstats.com/fighter-details/cbd3e590a85b18c5
UFC Fight Night: De Randamie vs. Ladd ,Karl Roberson  vs. Wellington Turman ,W/L,Middleweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Blake Grice,Derek Cleary 29 - 28.Wade Vierra 28 - 29.Mike Bell 28 - 29.,http://ufcstats.com/fight-details/a7cf716f5d73b558,http://ufcstats.com/fight-details/a7cf716f5d73b558,http://ufcstats.com/fighter-details/37d5b176d438d2a5,http://ufcstats.com/fighter-details/4dcfb28c011c11b2
UFC Fight Night: De Randamie vs. Ladd ,Marvin Vettori  vs. Cezar Ferreira ,W/L,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Mike Bell 27 - 30.Ron McCarthy 27 - 30.Derek Cleary 27 - 30.,http://ufcstats.com/fight-details/9b0de83b4e504bf6,http://ufcstats.com/fight-details/9b0de83b4e504bf6,http://ufcstats.com/fighter-details/7acbb0972e75281a,http://ufcstats.com/fighter-details/dbc17725b887860a
UFC Fight Night: De Randamie vs. Ladd ,Mike Rodriguez  vs. John Allan ,NC/NC,Light Heavyweight Bout,Overturned ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Failed Drug Test by AllanWade Vierra 28 - 29.Marcos Rosales 28 - 29.Ron McCarthy 27 - 30.,http://ufcstats.com/fight-details/aa6a9aeeb45577d4,http://ufcstats.com/fight-details/aa6a9aeeb45577d4,http://ufcstats.com/fighter-details/18b602842a24f7c5,http://ufcstats.com/fighter-details/6ebe96a116e79e52
UFC Fight Night: De Randamie vs. Ladd ,Andre Fili  vs. Sheymon Moraes ,W/L,Featherweight Bout,KO/TKO ,1,3:07,3 Rnd (5-5-5),Jason Herzog,Punch to Head At Distance ,http://ufcstats.com/fight-details/b436dda934059631,http://ufcstats.com/fight-details/b436dda934059631,http://ufcstats.com/fighter-details/8fd808923cffff82,http://ufcstats.com/fighter-details/0d62719b1dcf7c40
UFC Fight Night: De Randamie vs. Ladd ,Julianna Pena  vs. Nicco Montano ,W/L,Women's Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Josh Rosenthal,Mike Bell 28 - 29.Derek Cleary 28 - 29.Ron McCarthy 27 - 29.,http://ufcstats.com/fight-details/60be02c5566c8348,http://ufcstats.com/fight-details/60be02c5566c8348,http://ufcstats.com/fighter-details/3253b16d38ae087d,http://ufcstats.com/fighter-details/1de9ad94de18eeaf
UFC Fight Night: De Randamie vs. Ladd ,Darren Elkins  vs. Ryan Hall ,L/W,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Blake Grice,Wade Vierra 28 - 29.Marcos Rosales 28 - 29.Ron McCarthy 27 - 30.,http://ufcstats.com/fight-details/37a8c442fb38db75,http://ufcstats.com/fight-details/37a8c442fb38db75,http://ufcstats.com/fighter-details/92a9aa9c93192871,http://ufcstats.com/fighter-details/8866c6f509c19089
UFC Fight Night: De Randamie vs. Ladd ,Pingyuan Liu  vs. Jonathan Martinez ,L/W,Bantamweight Bout,KO/TKO ,3,3:54,3 Rnd (5-5-5),Josh Rosenthal,Knee to Head At Distance ,http://ufcstats.com/fight-details/ad63c30e22e63344,http://ufcstats.com/fight-details/ad63c30e22e63344,http://ufcstats.com/fighter-details/31bbd39c0a075d4e,http://ufcstats.com/fighter-details/f2477cf43c4975cc
UFC Fight Night: De Randamie vs. Ladd ,Livinha Souza  vs. Brianna Fortino ,L/W,Women's Strawweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Wade Vierra 27 - 30.Marcos Rosales 27 - 30.Mike Bell 27 - 30.,http://ufcstats.com/fight-details/2d42ef44ad2470e1,http://ufcstats.com/fight-details/2d42ef44ad2470e1,http://ufcstats.com/fighter-details/dab8cfbb6b1db10a,http://ufcstats.com/fighter-details/b53c46f613f6f248
UFC Fight Night: De Randamie vs. Ladd ,Benito Lopez  vs. Vince Morales ,W/L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Josh Rosenthal,Wade Vierra 28 - 29.Marcos Rosales 28 - 29.Blake Grice 28 - 29.,http://ufcstats.com/fight-details/358468724d7d4322,http://ufcstats.com/fight-details/358468724d7d4322,http://ufcstats.com/fighter-details/773f7feacf96153e,http://ufcstats.com/fighter-details/37098a6e6c27fb66
UFC 239: Jones vs. Santos ,Jon Jones  vs. Thiago Santos ,W/L,UFC Light Heavyweight Title Bout,Decision - Split ,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Mike Bell 47 - 48.Junichiro Kamijo 48 - 47.Derek Cleary 47 - 48.,http://ufcstats.com/fight-details/8fcdfee81cc604e3,http://ufcstats.com/fight-details/8fcdfee81cc604e3,http://ufcstats.com/fighter-details/07f72a2a7591b409,http://ufcstats.com/fighter-details/dea070ed4a2a8281
UFC 239: Jones vs. Santos ,Amanda Nunes  vs. Holly Holm ,W/L,UFC Women's Bantamweight Title Bout,KO/TKO ,1,4:10,5 Rnd (5-5-5-5-5),Marc Goddard,Kick to Head At Distance ,http://ufcstats.com/fight-details/69c06be4f87ccdab,http://ufcstats.com/fight-details/69c06be4f87ccdab,http://ufcstats.com/fighter-details/80fa8218c99f9c58,http://ufcstats.com/fighter-details/634e2fb70bde3fd5
